id,name,description,zip_code,neighborhood,latitude,longitude,property_type,room_type,n_accommodates,n_bathrooms,n_bedrooms,n_beds,amenities,price,minimum_nights,maximum_nights,availability_365,n_reviews,first_review,last_review,n_reviews_per_month,score_rating,score_cleanliness,score_location,score_value,host_id,host_name,host_since,host_is_superhost,host_n_listings,url_listing,url_picture
l_660702,Cozy Asheville Retreat,"Welcome to our charming and cozy Airbnb nestled in a tranquil neighborhood, just 1.5 miles away from the vibrant heart of downtown Asheville. With a king-size bed, infrared sauna, a private driveway, and your very own entrance, this inviting space is perfect for up to four adults, offering you the ideal blend of comfort and convenience.",28804,South Asheville,35.621288,-82.553017,Entire home,Entire home/apt,4,1,1,2,"First aid kit;Air conditioning;Blender;Heating;Conditioner;Private sauna;Iron;Coffee maker: french press, Keurig coffee machine;Extra pillows and blankets;Wine glasses;Hot water kettle;Cooking basics;Essentials;Patio or balcony;Shampoo;Dedicated workspace;Refrigerator;Shower gel;Single level home;Hot water;Baking sheet;Dishes and silverware;Private entrance;Hair dryer;Kitchen;Keypad;Bed linens;Carbon monoxide alarm;Portable fans;Microwave;Wifi;TV;Hangers;Coffee;Books and reading material;Fire extinguisher;Long term stays allowed;Clothing storage: closet;Freezer;Self check-in;Electric stove;Toaster;Oven;Dining table;Body soap;Laundromat nearby;Bluetooth sound system;Free parking on premises;Smoke alarm;Pack ’n play/Travel crib - available upon request",77,1,1125,353,823,2016-02-14,2025-06-01,7.24,4.75,4.73,4.91,4.76,h_3335271,Brady,2012-08-21,TRUE,1,https://www.airbnb.com/rooms/660702,https://a0.muscache.com/pictures/e0016bec-0561-4749-8dcd-983c11f3a4b4.jpg
l_674894,Lovely mountain home with a view!,"Linens and towels provided. You will have access to entire house. Nice, safe residential neighborhood. Secluded yet close to downtown. Located halfway between downtown and the parkway in beautiful Haw Creek valley. 3 beautiful acres with stream.",28805,East Asheville,35.62277,-82.50258,Private room in home,Private room,2,1,1,1,Luggage dropoff allowed;Heating;Free dryer – In building;Garden view;Iron;Extra pillows and blankets;Cooking basics;Essentials;Bathtub;Shampoo;Refrigerator;Dishwasher;Hot water;Dishes and silverware;Shared backyard – Not fully fenced;Hair dryer;Kitchen;Mountain view;Bed linens;Carbon monoxide alarm;Stove;Microwave;Wifi;Hangers;BBQ grill;Long term stays allowed;Fire extinguisher;Clothing storage: closet;Central air conditioning;Coffee maker;Oven;Shared patio or balcony;Body soap;Free parking on premises;Free washer – In building;Smoke alarm,52,2,7,351,257,2013-04-28,2024-05-27,1.74,4.65,4.77,4.82,4.81,h_614610,Linda,2011-05-22,FALSE,2,https://www.airbnb.com/rooms/674894,https://a0.muscache.com/pictures/52466073/be9356fd_original.jpg
l_723349,#2 Blue Ridge Room at Oakland Cottage B&B,"Oakland Cottage is an Asheville historic home, circa 1910, perfect for your Vacation-In-Asheville. The 5,000 sq-ft ""cottage"" has been naturally separated into 7 guest rooms, each with private bath. The open & shared common areas, available to all guests, create a warm and spacious feel.",28801,Downtown Asheville,35.57468,-82.55705,Private room in bed and breakfast,Private room,2,1,1,2,Mini fridge;Air conditioning;Pets allowed;Heating;Conditioner;Lock on bedroom door;TV with standard cable;Breakfast;Essentials;Bathtub;Shampoo;Hot water;Hair dryer;Keypad;Dryer;Ceiling fan;Bed linens;Carbon monoxide alarm;Microwave;Wifi;Clothing storage: dresser;Coffee maker;Self check-in;Washer;Free parking on premises;Smoke alarm,211,2,365,179,14,2014-07-17,2022-11-27,0.11,4.79,4.93,4.79,4.5,h_3736218,Mary,2012-10-02,FALSE,7,https://www.airbnb.com/rooms/723349,https://a0.muscache.com/pictures/c2bba064-a9b5-42c4-ba5d-f38e9e32be20.jpg
l_815068,"Lovely cottage 10 minutes north, quiet.","Charming cottage in a quiet neighborhood with a ½ acre yard bordered by creek. <br /><br />Great Location- just 10 minutes to downtown Asheville or the Blue Ridge parkway. The cottage is about 2 miles to Merrimon Ave where you will find grocery stores, shops, banks, several restaurants and the Beaver Lake Trail and Bird Sanctuary.",28804,South Asheville,35.64371,-82.52456,Entire home,Entire home/apt,4,1,2,2,First aid kit;Coffee maker: drip coffee maker;Air conditioning;Fire pit;Indoor fireplace: wood-burning;Heating;Iron;Extra pillows and blankets;Wine glasses;Host greets you;Barbecue utensils;Cooking basics;Essentials;Bathtub;Refrigerator;Single level home;Dishwasher;Hot water;Baking sheet;Dishes and silverware;Private entrance;BBQ grill: gas;Hair dryer;Kitchen;Free washer – In unit;Private backyard – Not fully fenced;Bed linens;Carbon monoxide alarm;Portable fans;Stove;Microwave;Wifi;Hangers;Books and reading material;Fire extinguisher;Free dryer – In unit;Long term stays allowed;Clothing storage: closet;Trane conditioner;Private patio or balcony;Oven;Hammock;TV with Apple TV;Free parking on premises;Smoke alarm,73,30,90,205,313,2012-12-17,2025-03-31,2.06,4.87,4.9,4.85,4.91,h_1111171,Thomas,2011-09-05,FALSE,1,https://www.airbnb.com/rooms/815068,https://a0.muscache.com/pictures/miso/Hosting-815068/original/9e4fcda2-91f2-410d-b52b-5e6d4bc737ee.jpeg
l_840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,"Less than 1 mile to the heart of Downtown Asheville, at the end of a quiet dead-end city street and perched on a hillside with an opening that offers endless west facing views, sits this tastefully decorated, newly remodeled, 2 bedroom, 2 bath modern house. The house also has a bonus room that is used as a media room. High-Speed Internet and Roku TVs.",28801,Downtown Asheville,35.58371,-82.56111,Entire home,Entire home/apt,4,2,2,2,"First aid kit;Air conditioning;Blender;Heating;Conditioner;Smoke alarm;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;Barbecue utensils;Cooking basics;Essentials;Bathtub;Shampoo;Refrigerator;Shower gel;Single level home;Dishwasher;Hot water;Baking sheet;Dishes and silverware;HDTV with standard cable;Private entrance;Hair dryer;Kitchen;Free street parking;Smart lock;Dryer;Ceiling fan;Bed linens;Carbon monoxide alarm;Stove;Microwave;Wifi;Coffee;Hangers;BBQ grill;Books and reading material;Fire extinguisher;Clothing storage: walk-in closet, closet, and dresser;Coffee maker;Freezer;Private patio or balcony;Self check-in;Dining table;Toaster;Oven;Washer;Outdoor furniture;Body soap;Free parking on premises;Mountain view",218,2,30,355,600,2013-01-02,2025-06-10,3.96,4.99,5,4.83,4.88,h_4390477,Michael,2012-12-12,TRUE,1,https://www.airbnb.com/rooms/840696,https://a0.muscache.com/pictures/29354539/7fd4613e_original.jpg
l_846221,Town and Mountain Peaceful Retreat,"* SUPERHOST STATUS FOR OVER 12 YEARS! *  <br />High speed  WIFI !!<br />And central A/C !!<br />Welcome to our peaceful retreat tucked under the Blue Ridge Parkway!<br />Our location offers the best of both worlds! With convenient access to the mountains and the town. We are located approximately 5.5 miles from the center of downtown Asheville (the review with a response saying 8 miles is wrong, but Airbnb will not let me change it).  One of the most affordable accommodations in the Asheville area!",28804,South Asheville,35.643550872802734,-82.51139831542969,Entire home,Entire home/apt,6,1.5,3,4,Cleaning products;Central heating;Board games;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;Cooking basics;Essentials;Bathtub;Shampoo;Dedicated workspace;Refrigerator;Hot water;Baking sheet;Dishes and silverware;Hair dryer;Kitchen;Free washer – In unit;Private backyard – Not fully fenced;Ceiling fan;Bed linens;Carbon monoxide alarm;Portable fans;Stove;Microwave;TV;Hangers;Fast wifi – 227 Mbps;Lockbox;Books and reading material;Fire extinguisher;Free dryer – In unit;Clothing storage: closet;Central air conditioning;Sound system;Coffee maker;Freezer;Private patio or balcony;Self check-in;Dining table;Toaster;Oven;Outdoor furniture;Outdoor dining area;Bidet;Body soap;Free parking on premises;Smoke alarm,168,2,29,140,125,2013-04-01,2024-07-28,0.84,4.73,4.74,4.84,4.75,h_4418555,Bart,2012-12-16,FALSE,1,https://www.airbnb.com/rooms/846221,https://a0.muscache.com/pictures/12059499/34463139_original.jpg
l_875735,Asheville artist  bungalow. 3 minutes to downtown,"1 queen bed with private bath in small shared 1920s Bungalow . Woodstove, organic garden, Large yard filled with large scale sculpture. Quiet neighborhood.  5 minutes to the beautiful scenic blue ridge parkway, 5 min drive to downtown Asheville.",28805,East Asheville,35.58513,-82.50484,Private room in home,Private room,2,1,1,1,Dryer;Cooking basics;Essentials;Air conditioning;Oven;Indoor fireplace;Washer;Refrigerator;Pets allowed;Microwave;Heating;Dishes and silverware;Free parking on premises;Kitchen,51,2,1125,357,223,2013-07-14,2025-05-27,1.54,4.71,4.34,4.87,4.76,h_4632589,Jason,2013-01-08,FALSE,1,https://www.airbnb.com/rooms/875735,https://a0.muscache.com/pictures/12674237/1c1681e6_original.jpg
l_881707,West A'ville sanctuary in the trees,"Beautiful, cozy and quiet.",28806,West Asheville,35.56754,-82.59657,Entire guest suite,Entire home/apt,2,1,0,1,Mini fridge;Coffee maker: drip coffee maker;Cleaning products;Trader Joes body soap;Luggage dropoff allowed;Fire pit;Heating;Room-darkening shades;Free dryer – In building;Iron;Extra pillows and blankets;Wine glasses;Hot water kettle;Barbecue utensils;Cooking basics;Essentials;Dedicated workspace;Shower gel;Hot water;Dishes and silverware;Park view;Private entrance;Hair dryer;IKEA  induction stove;Trader Joe’s shampoo;Free street parking;BBQ grill: charcoal;Private backyard – Not fully fenced;Mosquito net;Bed linens;Clothing storage: wardrobe;Carbon monoxide alarm;Portable fans;Microwave;Wifi;Coffee;Hangers;Lockbox;Trader Joe’s  conditioner;Central air conditioning;Private patio or balcony;Self check-in;Dining table;Toaster;Outdoor furniture;Outdoor dining area;Bikes;Bluetooth sound system;Free parking on premises;Free washer – In building;Smoke alarm,86,2,30,330,1096,2013-10-05,2025-06-16,7.69,4.89,4.9,4.92,4.82,h_4664726,Maria,2013-01-11,TRUE,3,https://www.airbnb.com/rooms/881707,https://a0.muscache.com/pictures/miso/Hosting-881707/original/2c0551a6-89a4-4878-9171-9ca935f659e6.jpeg
l_942934,"""ZenShe"" ... Very Clean, Quiet and Convenient","Very Clean, <br />Very Private<br />Very Affordable<br />And Very Zen",28806,West Asheville,35.57244,-82.58949,Private room in home,Private room,2,1,1,1,First aid kit;Mini fridge;Luggage dropoff allowed;Coffee maker: Keurig coffee machine;Heating;Conditioner;Room-darkening shades;Fast wifi – 68 Mbps;Garden view;Iron;Extra pillows and blankets;Wine glasses;Essentials;Bathtub;Shampoo;Dedicated workspace;Single level home;Shower gel;Hot water;Dishes and silverware;Private entrance;Kitchen;Free street parking;Bed linens;Carbon monoxide alarm;Portable fans;Microwave;Coffee;Hangers;Lockbox;Books and reading material;Private backyard – Fully fenced;Clothing storage: closet;Central air conditioning;Self check-in;Body soap;Laundromat nearby;Free parking on premises;Smoke alarm,66,2,10,171,697,2013-03-14,2025-06-02,4.67,4.95,4.99,4.92,4.91,h_5100332,Pat,2013-02-15,TRUE,1,https://www.airbnb.com/rooms/942934,https://a0.muscache.com/pictures/pro_photo_tool/Hosting-942934-unapproved/original/622ab03e-cfff-4a7c-a8fd-ab818857f3c6.JPEG
l_943832,"Asheville Historic Cottage, Walk To Town","My romantic  house is warm,comfortable & beautiful, filled with antiques& local art,stocked kitchen, in quite tranquil setting,has a large privacy fenced yard with majestic Oaks, wood burning fireplace in the family room, front porch with swing and outdoor dining area on patio.",28806,West Asheville,35.60991,-82.57838,Entire home,Entire home/apt,6,1.5,3,3,"First aid kit;Air conditioning;Indoor fireplace: wood-burning;Pets allowed;Heating;Iron;Extra pillows and blankets;Cooking basics;Essentials;Shampoo;Dedicated workspace;Refrigerator;Dishwasher;Hot water;Dishes and silverware;Hair dryer;Kitchen;Bed linens;Carbon monoxide alarm;Stove;Microwave;Wifi;Hangers;BBQ grill;Lockbox;Long term stays allowed;Fire extinguisher;Backyard;Coffee maker;Private patio or balcony;Self check-in;Outdoor furniture;Oven;Outdoor dining area;TV with standard cable, Netflix;Free parking on premises;Smoke alarm",193,3,1125,365,157,2013-05-30,2023-05-07,1.07,4.66,4.76,4.87,4.57,h_5107042,Terri,2013-02-16,FALSE,2,https://www.airbnb.com/rooms/943832,https://a0.muscache.com/pictures/miso/Hosting-943832/original/56c4ed0f-23c8-4073-a29c-781bd7692f6b.jpeg
l_976034,Urban Peace 5 ml from Downtown AVL,"Private and romantic, for special occasions or just get away, enjoy the calm.<br />Easy access to downtown with a quiet place to slumber. <br />Blue Ridge Parkway less than a mile away! <br />Park your car steps away from your door...secure and easily accessible!<br />Neighborhood is on a quiet private road, dead end street with no cut through traffic, great for a stroll.",28803,Tuxedo Park,35.55542,-82.48316,Entire rental unit,Entire home/apt,2,1,1,1,Free parking on premises;Coffee maker: drip coffee maker;Cleaning products;Air conditioning;Indoor fireplace: wood-burning;Heating;Iron;Organix Coconut Milk shampoo;Extra pillows and blankets;Wine glasses;Hot water kettle;Breakfast;Barbecue utensils;Cooking basics;Essentials;Bathtub;Dedicated workspace;Single level home;Shea Moisture body soap;Hot water;Dishes and silverware;Private entrance;BBQ grill: gas;Hair dryer;Kitchen;40 inch HDTV;Bed linens;Carbon monoxide alarm;Organix Coconut Milk  conditioner;Microwave;Wifi;Coffee;Hangers;Fire extinguisher;Whirlpool  refrigerator;Kenmore stainless steel oven;Freezer;Outdoor furniture;Toaster;Kenmore electric stove;Smoke alarm,127,2,30,170,173,2013-04-01,2024-09-01,1.16,4.96,4.99,4.85,4.94,h_5340154,Ar,2013-03-05,FALSE,1,https://www.airbnb.com/rooms/976034,https://a0.muscache.com/pictures/17429978/e4656a27_original.jpg
l_977054,The Cottage In Asheville,"Corporate/temporary/vacation rental in North Asheville. Our clean, contemporary cottage is perfect for exploring Asheville! Relax in a calming environment, isolated from, yet close to the city. The place is your own. Unwind. [AVAILABLE BY THE MONTH]",28804,South Asheville,35.61467361450195,-82.556610107421875,Entire guesthouse,Entire home/apt,2,1,1,1,Mini fridge;Luggage dropoff allowed;Heating;Whirlpool induction stove;Garden view;Iron;Extra pillows and blankets;Wine glasses;AC - split type ductless system;Host greets you;Cooking basics;Essentials;Refrigerator;Single level home;Dishwasher;Hot water;Dishes and silverware;Private entrance;Hair dryer;Kitchen;Free washer – In unit;Ceiling fan;Bed linens;Carbon monoxide alarm;Microwave;Wifi;Hangers;Exterior security cameras on property;Long term stays allowed;Fire extinguisher;Cleaning available during stay;Backyard;Coffee maker;Private patio or balcony;Ethernet connection;Toaster;Oven;Laundromat nearby;Free parking on premises;Smoke alarm,98,30,1125,318,81,2013-04-29,2023-10-31,0.55,4.96,5,4.95,4.9,h_4302936,Anne,2012-12-02,FALSE,1,https://www.airbnb.com/rooms/977054,https://a0.muscache.com/pictures/16539956/39069605_original.jpg
